Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Luxembourg,625976,"2020-12-23 00:00:00",45209,7.2200
Luxembourg,625976,"2020-12-24 00:00:00",45209,7.2200
Luxembourg,625976,"2020-12-25 00:00:00",45209,7.2200
Luxembourg,625976,"2020-12-26 00:00:00",45209,7.2200
Luxembourg,625976,"2020-12-27 00:00:00",45209,7.2200
Belgium,11589616,"2021-03-21 00:00:00",837006,7.2200
Armenia,2963234,"2021-04-27 00:00:00",214064,7.2200
Poland,37846605,"2021-04-22 00:00:00",2731256,7.2200
Spain,46754783,"2021-04-13 00:00:00",3376548,7.2200
Spain,46754783,"2021-04-12 00:00:00",3370256,7.2100
Panama,4314768,"2021-01-24 00:00:00",311244,7.2100
Lebanon,6825442,"2021-04-09 00:00:00",491928,7.2100
"North Macedonia",2083380,"2021-04-24 00:00:00",150274,7.2100
Andorra,77265,"2020-11-11 00:00:00",5567,7.2100
Georgia,3989175,"2021-04-10 00:00:00",287689,7.2100
Georgia,3989175,"2021-04-09 00:00:00",287183,7.2000
Armenia,2963234,"2021-04-25 00:00:00",213288,7.2000
Armenia,2963234,"2021-04-26 00:00:00",213469,7.2000
Switzerland,8654618,"2021-04-12 00:00:00",623126,7.2000
"United States",331002647,"2021-01-16 00:00:00",23836726,7.2000
Lithuania,2722291,"2021-02-25 00:00:00",196049,7.2000
"North Macedonia",2083380,"2021-04-23 00:00:00",149710,7.1900
France,68147687,"2021-04-06 00:00:00",4902025,7.1900
France,68147687,"2021-04-07 00:00:00",4902985,7.1900
Bahrain,1701583,"2021-02-28 00:00:00",122394,7.1900
Cyprus,875899,"2021-04-26 00:00:00",62960,7.1900
Estonia,1326539,"2021-03-21 00:00:00",95401,7.1900
Serbia,6804596,"2021-03-08 00:00:00",489530,7.1900
Slovenia,2078932,"2021-01-18 00:00:00",149424,7.1900
Sweden,10099270,"2021-03-16 00:00:00",725289,7.1800
Panama,4314768,"2021-01-23 00:00:00",309851,7.1800
Poland,37846605,"2021-04-21 00:00:00",2718493,7.1800
Portugal,10196707,"2021-02-02 00:00:00",731861,7.1800
Liechtenstein,38137,"2021-04-10 00:00:00",2738,7.1800
Lithuania,2722291,"2021-02-24 00:00:00",195481,7.1800
Netherlands,17134873,"2021-03-23 00:00:00",1230746,7.1800
Hungary,9660350,"2021-04-07 00:00:00",693676,7.1800
Israel,8655541,"2021-01-27 00:00:00",621590,7.1800
France,68147687,"2021-04-05 00:00:00",4893971,7.1800
Georgia,3989175,"2021-04-08 00:00:00",286406,7.1800
Armenia,2963234,"2021-04-24 00:00:00",212878,7.1800
Croatia,4105268,"2021-04-13 00:00:00",294874,7.1800
France,68147687,"2021-04-04 00:00:00",4883174,7.1700
Slovenia,2078932,"2021-01-17 00:00:00",149125,7.1700
Montenegro,628062,"2020-12-23 00:00:00",45062,7.1700
Lebanon,6825442,"2021-04-08 00:00:00",489428,7.1700
Lithuania,2722291,"2021-02-23 00:00:00",194833,7.1600
Luxembourg,625976,"2020-12-22 00:00:00",44809,7.1600
"North Macedonia",2083380,"2021-04-22 00:00:00",149221,7.1600
Hungary,9660350,"2021-04-06 00:00:00",691743,7.1600
Georgia,3989175,"2021-04-07 00:00:00",285645,7.1600
Armenia,2963234,"2021-04-23 00:00:00",212114,7.1600
Bahrain,1701583,"2021-02-27 00:00:00",121778,7.1600
Spain,46754783,"2021-04-09 00:00:00",3347512,7.1600
Spain,46754783,"2021-04-10 00:00:00",3347512,7.1600
Spain,46754783,"2021-04-11 00:00:00",3347512,7.1600
"San Marino",33938,"2020-12-31 00:00:00",2428,7.1500
"San Marino",33938,"2021-01-01 00:00:00",2428,7.1500
"San Marino",33938,"2021-01-02 00:00:00",2428,7.1500
"San Marino",33938,"2021-01-03 00:00:00",2428,7.1500
Slovenia,2078932,"2021-01-16 00:00:00",148556,7.1500
Poland,37846605,"2021-04-20 00:00:00",2704571,7.1500
Netherlands,17134873,"2021-03-22 00:00:00",1224947,7.1500
Liechtenstein,38137,"2021-04-09 00:00:00",2722,7.1400
Lithuania,2722291,"2021-02-22 00:00:00",194333,7.1400
Hungary,9660350,"2021-04-05 00:00:00",689853,7.1400
Qatar,2881060,"2021-04-30 00:00:00",205652,7.1400
Spain,46754783,"2021-04-08 00:00:00",3336637,7.1400
Switzerland,8654618,"2021-04-09 00:00:00",617543,7.1400
Switzerland,8654618,"2021-04-10 00:00:00",617543,7.1400
Switzerland,8654618,"2021-04-11 00:00:00",617543,7.1400
"United States",331002647,"2021-01-15 00:00:00",23635046,7.1400
Belgium,11589616,"2021-03-19 00:00:00",827941,7.1400
Belgium,11589616,"2021-03-20 00:00:00",827941,7.1400
Croatia,4105268,"2021-04-12 00:00:00",292938,7.1400
Georgia,3989175,"2021-04-06 00:00:00",284958,7.1400
Croatia,4105268,"2021-04-11 00:00:00",292516,7.1300
Armenia,2963234,"2021-04-22 00:00:00",211399,7.1300
Lithuania,2722291,"2021-02-21 00:00:00",194051,7.1300
"North Macedonia",2083380,"2021-04-21 00:00:00",148618,7.1300
Panama,4314768,"2021-01-22 00:00:00",307793,7.1300
Serbia,6804596,"2021-03-07 00:00:00",485439,7.1300
Spain,46754783,"2021-04-07 00:00:00",3326736,7.1200
Poland,37846605,"2021-04-19 00:00:00",2695327,7.1200
Portugal,10196707,"2021-02-01 00:00:00",726321,7.1200
Bahrain,1701583,"2021-02-26 00:00:00",121127,7.1200
Cyprus,875899,"2021-04-25 00:00:00",62349,7.1200
Georgia,3989175,"2021-04-04 00:00:00",283833,7.1200
Georgia,3989175,"2021-04-05 00:00:00",284061,7.1200
Lebanon,6825442,"2021-04-07 00:00:00",485918,7.1200
Liechtenstein,38137,"2021-04-08 00:00:00",2714,7.1200
Luxembourg,625976,"2020-12-21 00:00:00",44582,7.1200
Lithuania,2722291,"2021-02-20 00:00:00",193562,7.1100
Netherlands,17134873,"2021-03-21 00:00:00",1218610,7.1100
Qatar,2881060,"2021-04-29 00:00:00",204976,7.1100
Switzerland,8654618,"2021-04-08 00:00:00",615024,7.1100
Spain,46754783,"2021-04-06 00:00:00",3317948,7.1000
Poland,37846605,"2021-04-18 00:00:00",2688025,7.1000
"North Macedonia",2083380,"2021-04-20 00:00:00",147995,7.1000
Hungary,9660350,"2021-04-04 00:00:00",685979,7.1000
Georgia,3989175,"2021-04-03 00:00:00",283369,7.1000
Armenia,2963234,"2021-04-21 00:00:00",210518,7.1000
Belgium,11589616,"2021-03-18 00:00:00",822801,7.1000
Georgia,3989175,"2021-04-02 00:00:00",282789,7.0900
Estonia,1326539,"2021-03-20 00:00:00",94028,7.0900
Andorra,77265,"2020-11-10 00:00:00",5477,7.0900
